section,stack_no,process,diameter,sampling_month_year,stack_temperature,oxygen_pct,gas_velocity,flow_rate,dust_emission_actual_o2,dust_emission_rate,operation_hour,dust_emission_total,report_month
Dust/ Bụi,"Ống khói lò nung xương 3,4",,,8/6/2020,120.6,,,186.66666666666666,41.3,0.4625599999999999,720.0,333.04319999999996,Sep
Dust/ Bụi,"Ống khói lò nung xương 3,4",,,20/8/2020,122.7,,,158.33333333333334,42.6,0.40470000000000006,744.0,301.09680000000003,Oct
Dust/ Bụi,"Ống khói lò nung xương 3,4",,,20/8/2020,122.7,,,158.33333333333334,42.6,0.40470000000000006,720.0,291.384,Nov
Dust/ Bụi,"Ống khói lò nung xương 3,4",,,20/8/2020,122.7,,,158.33333333333334,42.6,0.40470000000000006,744.0,301.09680000000003,Dec
Dust/ Bụi,"Ống khói lò nung xương 5,6",,,2/12/2019,146.5,,,175.5,50.0,0.5265,424.0,223.236,Jan
Dust/ Bụi,"Ống khói lò nung xương 5,6",,,2/12/2019,146.5,,,175.5,50.0,0.5265,0.0,0.0,Feb
Dust/ Bụi,"Ống khói lò nung xương 5,6",,,2/12/2019,146.5,,,175.5,50.0,0.5265,624.0,328.536,Mar
Dust/ Bụi,"Ống khói lò nung xương 5,6",,,3/4/2020,145.9,,,175.0,47.7,0.50085,720.0,360.612,Apr
Dust/ Bụi,"Ống khói lò nung xương 5,6",,,3/4/2020,145.9,,,175.0,47.7,0.50085,744.0,372.6324,May
Dust/ Bụi,"Ống khói lò nung xương 5,6",,,8/6/2020,117.5,,,175.0,46.5,0.48825,720.0,351.54,Jun
Dust/ Bụi,"Ống khói lò nung xương 5,6",,,8/6/2020,117.5,,,175.0,46.5,0.48825,744.0,363.25800000000004,Jul
Dust/ Bụi,"Ống khói lò nung xương 5,6",,,8/6/2020,117.5,,,175.0,46.5,0.48825,744.0,363.25800000000004,Aug
Dust/ Bụi,"Ống khói lò nung xương 5,6",,,8/6/2020,117.5,,,175.0,46.5,0.48825,720.0,351.54,Sep
Dust/ Bụi,"Ống khói lò nung xương 5,6",,,20/8/2020,118.6,,,194.16666666666666,43.9,0.511435,744.0,380.50764,Oct
Dust/ Bụi,"Ống khói lò nung xương 5,6",,,20/8/2020,118.6,,,194.16666666666666,43.9,0.511435,720.0,368.23319999999995,Nov
Dust/ Bụi,"Ống khói lò nung xương 5,6",,,20/8/2020,118.6,,,194.16666666666666,43.9,0.511435,744.0,380.50764,Dec
Dust/ Bụi,Ống khói lò nung men số 1,,,29/9/2019,157.3,,,168.66666666666666,51.0,0.51612,384.0,198.19008000000002,Jan
Dust/ Bụi,Ống khói lò nung men số 1,,,29/9/2019,157.3,,,168.66666666666666,51.0,0.51612,328.0,169.28736,Feb
Dust/ Bụi,Ống khói lò nung men số 1,,,29/9/2019,157.3,,,168.66666666666666,51.0,0.51612,744.0,383.99328,Mar
Dust/ Bụi,Ống khói lò nung men số 1,,,3/4/2020,152.3,,,178.33333333333334,54.6,0.58422,720.0,420.6384,Apr
Dust/ Bụi,Ống khói lò nung men số 1,,,3/4/2020,152.3,,,178.33333333333334,54.6,0.58422,744.0,434.65968,May
Dust/ Bụi,Ống khói lò nung men số 1,,,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,720.0,336.66480000000007,Jun
Dust/ Bụi,Ống khói lò nung men số 1,,,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,744.0,347.88696000000004,Jul
