category,Stack No.,period,variable,unit,Sampling,value
Dust,Spray Dryer 2,Nov,Dust Emission Actual O2,mg/m3,2020-08-20,42.3
Dust,Spray Dryer 2,Nov,Dust Emission rate,kg/hr,2020-08-20,3.5955
Dust,Spray Dryer 2,Nov,Operation Hour,hr,2020-08-20,360.0
Dust,Spray Dryer 2,Nov,Dust Emission,kg,2020-08-20,1294.38
Dust,Spray Dryer 2,Dec,Stack Temperature,๐C,2020-08-20,95.1
Dust,Spray Dryer 2,Dec,%Oxygen,%,2020-08-20,0.0
Dust,Spray Dryer 2,Dec,Gas Velocity,m/s,2020-08-20,0.0
Dust,Spray Dryer 2,Dec,Flow rate,m3/min,2020-08-20,1416.666667
Dust,Spray Dryer 2,Dec,Dust Emission Actual O2,mg/m3,2020-08-20,42.3
Dust,Spray Dryer 2,Dec,Dust Emission rate,kg/hr,2020-08-20,3.5955
Dust,Spray Dryer 2,Dec,Operation Hour,hr,2020-08-20,436.0
Dust,Spray Dryer 2,Dec,Dust Emission,kg,2020-08-20,1567.638
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jan,Diameter,m,2019-12-02,0.8
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jan,Stack Temperature,๐C,2019-12-02,153.2
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jan,%Oxygen,%,2019-12-02,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jan,Gas Velocity,m/s,2019-12-02,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jan,Flow rate,m3/min,2019-12-02,173.3333333
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jan,Dust Emission Actual O2,mg/m3,2019-12-02,52.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jan,Dust Emission rate,kg/hr,2019-12-02,0.5408
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jan,Operation Hour,hr,2019-12-02,384.0
