section,waste_category_en,report_month,incoming_stock,waste_generated,reuse_recycle,incineration,landfill
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Total Non Hazardous Waste Generate (ton),Jul,8.3973,2.0462,1.9,0.0,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Total Non Hazardous Waste Generate (ton),Aug,8.5435,0.266,0.177,0.0,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Total Non Hazardous Waste Generate (ton),Sep,8.6325,2.432,2.06,0.0,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Total Non Hazardous Waste Generate (ton),Oct,9.0045,0.165,0.0,0.0,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Total Non Hazardous Waste Generate (ton),Nov,9.1695,6.694,6.6,0.0,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Total Non Hazardous Waste Generate (ton),Dec,9.2635,1.74,1.66,0.0,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Specific Non Hazardous Waste Generate (kg/ton),Jan,,10.36531896014654,,,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Specific Non Hazardous Waste Generate (kg/ton),Feb,,33.55039376462727,,,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Specific Non Hazardous Waste Generate (kg/ton),Mar,,2.420039711933699,,,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Specific Non Hazardous Waste Generate (kg/ton),Apr,,0.011680574932290466,,,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Specific Non Hazardous Waste Generate (kg/ton),May,,3.014206036820905,,,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Specific Non Hazardous Waste Generate (kg/ton),Jun,,0.6301493187857025,,,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Specific Non Hazardous Waste Generate (kg/ton),Jul,,0.1108791642353216,,,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Specific Non Hazardous Waste Generate (kg/ton),Aug,,0.016440425147487205,,,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Specific Non Hazardous Waste Generate (kg/ton),Sep,,0.20038296271214395,,,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Specific Non Hazardous Waste Generate (kg/ton),Oct,,0.013237232399310066,,,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Specific Non Hazardous Waste Generate (kg/ton),Nov,,0.5431613877685825,,,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Specific Non Hazardous Waste Generate (kg/ton),Dec,,0.03720276719338238,,,0.0
