category,name,original_name,unit,period,Month,value,has_data
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,Feb,2,41854.528,1
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,Feb,2,0.0,1
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,Feb,2,41854.528,1
Energy_Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,Feb,2,21292.491,1
Energy_Consumption,Total Thermal Consumption-Coal Gas (YB),Total Thermal Consumption-Coal Gas (YB),GJ,Feb,2,0.0,1
Energy_Consumption,Total Thermal Consumption-Coal Gas,Total Thermal Consumption-Coal Gas,GJ,Feb,2,21292.491,1
Energy_Consumption,Total Electrical Consumption (DV),Total Electrical Consumption (DV),GJ,Feb,2,3186.248,1
Energy_Consumption,Total Electrical Consumption (YB),Total Electrical Consumption (YB),GJ,Feb,2,0.0,1
Energy_Consumption,Total Electrical Consumption,Total Electrical Consumption,GJ,Feb,2,3186.248,1
Energy_Consumption,Total Renewable Energy (DV),Total Renewable Energy (DV),GJ,Feb,2,232.876,1
Energy_Consumption,Total Renewable Energy (YB),Total Renewable Energy (YB),GJ,Feb,2,0.0,1
Energy_Consumption,Total Renewable Energy,Total Renewable Energy,GJ,Feb,2,232.876,1
Energy_Consumption,"Total Energy Consumption-Coal, Biomass (DV)","Total Energy Consumption-Coal, Biomass (DV)",GJ,Feb,2,45040.775,1
Energy_Consumption,"Total Energy Consumption-Coal, Biomass (YB)","Total Energy Consumption-Coal, Biomass (YB)",GJ,Feb,2,0.0,1
Energy_Consumption,"Total Energy Consumption-Coal, Biomass","Total Energy Consumption-Coal, Biomass",GJ,Feb,2,45040.775,1
Energy_Consumption,Total Energy Consumption-Coal Gas (DV),Total Energy Consumption-Coal Gas (DV),GJ,Feb,2,24478.739,1
Energy_Consumption,Total Energy Consumption-Coal Gas (YB),Total Energy Consumption-Coal Gas (YB),GJ,Feb,2,0.0,1
Energy_Consumption,Total Energy Consumption-Coal Gas,Total Energy Consumption-Coal Gas,GJ,Feb,2,24478.739,1
Energy_Consumption,"Specific Energy Consumption-Coal, Biomass (DV)","Specific Energy Consumption-Coal, Biomass (DV)",GJ/ton,Feb,2,7.138,1
Energy_Consumption,"Specific Energy Consumption-Coal, Biomass (YB)","Specific Energy Consumption-Coal, Biomass (YB)",GJ/ton,Feb,2,376.946,0
Energy_Consumption,"Specific Energy Consumption-Coal, Biomass","Specific Energy Consumption-Coal, Biomass",GJ/ton,Feb,2,7.138,1
Energy_Consumption,Specific Energy Consumption-Coal Gas (DV),Specific Energy Consumption-Coal Gas (DV),GJ/ton,Feb,2,3.879,1
Energy_Consumption,Specific Energy Consumption-Coal Gas (YB),Specific Energy Consumption-Coal Gas (YB),GJ/ton,Feb,2,0.09,0
Energy_Consumption,Specific Energy Consumption-Coal Gas,Specific Energy Consumption-Coal Gas,GJ/ton,Feb,2,3.879,1
Energy_Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,Mar,3,2414.661,1
Energy_Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,Mar,3,543.069,1
Energy_Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,Mar,3,430.117,1
Energy_Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,Mar,3,206.339,1
Energy_Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,Mar,3,0.0,1
Energy_Consumption,Coal 4A.1 (YB),Coal/ Than 4A.1 (YB),Ton,Mar,3,0.0,1
Energy_Consumption,Coal import coal (YB),Coal/ Than import coal (YB) (than nhập khẩu),Ton,Mar,3,0.0,1
Energy_Consumption,Coal 5A under screen YB,Than cám qua sàng / Than 5A under screen YB,Ton,Mar,3,0.0,1
Energy_Consumption,Coal 5A (DV+YB),Coal/ Than 5A (DV+YB),Ton,Mar,3,2414.661,1
Energy_Consumption,Coal 4A.1 (DV+YB),Coal/ Than 4A.1 (DV+YB),Ton,Mar,3,543.069,1
Energy_Consumption,Coal import coal (DV+YB),Coal/ Than import coal (DV+YB),Ton,Mar,3,430.117,1
Energy_Consumption,Coal  5A under screen  (DV+YB),Coal/ Than  5A under screen  (DV+YB),Ton,Mar,3,206.339,1
Energy_Consumption,Total Coal DV,Total Coal DV,Ton,Mar,3,3594.186,1
Energy_Consumption,Total Coal YB,Total Coal YB,Ton,Mar,3,0.0,1
Energy_Consumption,Total Coal,Total Coal,Ton,Mar,3,3594.186,1
Energy_Consumption,Coal heating value 5A,Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,Mar,3,7350.0,1
Energy_Consumption,Coal heating value 4A.1,Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,Mar,3,5780.0,1
Energy_Consumption,Coal heating value import coal,Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,Mar,3,5520.0,1
Energy_Consumption,Coal heating value5A under screen,Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,Mar,3,6810.0,1
Energy_Consumption,Coal Heating Value average,Coal Heating Value average,cal/g,Mar,3,6862.781,1
Energy_Consumption,Coal Gas (DV),Coal Gas (DV) (Nhiệt trị theo phiếu kiểm tra),Mcal,Mar,3,18233956.122,1
Energy_Consumption,Coal Gas (YB),Coal Gas (YB) (Nhiệt trị theo phiếu kiểm tra),Mcal,Mar,3,0.0,0
Energy_Consumption,Total Coal Gas,Total Coal Gas,Mcal,Mar,3,18233956.122,1
Energy_Consumption,Lignite,Lignite/ Than non,Ton,Mar,3,0.0,0
Energy_Consumption,Natural Gas,Natural Gas/ Khí gas tự nhiên,Ton,Mar,3,0.0,0
Energy_Consumption,Co-generation (Heat),Co-generation (Heat)/ Đồng phát nhiệt điện,Ton,Mar,3,0.0,0
Energy_Consumption,LPG for Process used (Station),LPG for Process used (Station)/ LPG dùng cho trạm (dùng cho lò nung),Ton,Mar,3,0.0,0
Energy_Consumption,Heavy fuel oil / Bunker oil,Heavy fuel oil / Bunker oil/ Dầu nặng hoặc dàu chạy tàu,Ton,Mar,3,0.0,0
Energy_Consumption,Diesel oil (Mobile),Diesel oil (Mobile) Dầu xe,Litre,Mar,3,26113.0,1
Energy_Consumption,Gasoline,Gasoline (xăng bơm chữa cháy),Litre,Mar,3,0.0,1
Energy_Consumption,Steam,Steam/ Hơi nước,Ton,Mar,3,0.0,0
Energy_Consumption,Solid Biomass (DV),Solid Biomass (DV) (Củi+rác đốt là cây…+ Gỗ băm),Ton,Mar,3,29.067,1
Energy_Consumption,Solid Biomass (YB),Solid Biomass (YB) (Củi+rác đốt),Ton,Mar,3,0.0,1
Energy_Consumption,Total Solid Biomass,Total Solid Biomass,Ton,Mar,3,29.067,1
Energy_Consumption,Solid Biomass heating Value,Solid Biomass heating Value (Nhiệt trị),cal/g,Mar,3,3000.0,1
Energy_Consumption,Electricity,Electricity/ Điện (DV),MWh,Mar,3,2076.957,1
Energy_Consumption,Electricity,Electricity/ Điện (YB),MWh,Mar,3,0.0,1
Energy_Consumption,Total Electricity,Total Electricity,MWh,Mar,3,2076.957,1
Energy_Consumption,Co-generation (Power),Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,Mar,3,0.0,0
Energy_Consumption,Solar Cell (Renewable Energy),Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,Mar,3,0.0,0
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,Mar,3,104768.712,1
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,Mar,3,0.0,1
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,Mar,3,104768.712,1
Energy_Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,Mar,3,77478.686,1
Energy_Consumption,Total Thermal Consumption-Coal Gas (YB),Total Thermal Consumption-Coal Gas (YB),GJ,Mar,3,0.0,1
Energy_Consumption,Total Thermal Consumption-Coal Gas,Total Thermal Consumption-Coal Gas,GJ,Mar,3,77478.686,1
Energy_Consumption,Total Electrical Consumption (DV),Total Electrical Consumption (DV),GJ,Mar,3,7477.044,1
Energy_Consumption,Total Electrical Consumption (YB),Total Electrical Consumption (YB),GJ,Mar,3,0.0,1
Energy_Consumption,Total Electrical Consumption,Total Electrical Consumption,GJ,Mar,3,7477.044,1
Energy_Consumption,Total Renewable Energy (DV),Total Renewable Energy (DV),GJ,Mar,3,365.023,1
Energy_Consumption,Total Renewable Energy (YB),Total Renewable Energy (YB),GJ,Mar,3,0.0,1
Energy_Consumption,Total Renewable Energy,Total Renewable Energy,GJ,Mar,3,365.023,1
Energy_Consumption,"Total Energy Consumption-Coal, Biomass (DV)","Total Energy Consumption-Coal, Biomass (DV)",GJ,Mar,3,112245.756,1
Energy_Consumption,"Total Energy Consumption-Coal, Biomass (YB)","Total Energy Consumption-Coal, Biomass (YB)",GJ,Mar,3,0.0,1
Energy_Consumption,"Total Energy Consumption-Coal, Biomass","Total Energy Consumption-Coal, Biomass",GJ,Mar,3,112245.756,1
Energy_Consumption,Total Energy Consumption-Coal Gas (DV),Total Energy Consumption-Coal Gas (DV),GJ,Mar,3,84955.73,1
Energy_Consumption,Total Energy Consumption-Coal Gas (YB),Total Energy Consumption-Coal Gas (YB),GJ,Mar,3,0.0,1
Energy_Consumption,Total Energy Consumption-Coal Gas,Total Energy Consumption-Coal Gas,GJ,Mar,3,84955.73,1
Energy_Consumption,"Specific Energy Consumption-Coal, Biomass (DV)","Specific Energy Consumption-Coal, Biomass (DV)",GJ/ton,Mar,3,6.33,1
Energy_Consumption,"Specific Energy Consumption-Coal, Biomass (YB)","Specific Energy Consumption-Coal, Biomass (YB)",GJ/ton,Mar,3,376.946,0
Energy_Consumption,"Specific Energy Consumption-Coal, Biomass","Specific Energy Consumption-Coal, Biomass",GJ/ton,Mar,3,6.33,1
Energy_Consumption,Specific Energy Consumption-Coal Gas (DV),Specific Energy Consumption-Coal Gas (DV),GJ/ton,Mar,3,4.791,1
Energy_Consumption,Specific Energy Consumption-Coal Gas (YB),Specific Energy Consumption-Coal Gas (YB),GJ/ton,Mar,3,0.09,0
Energy_Consumption,Specific Energy Consumption-Coal Gas,Specific Energy Consumption-Coal Gas,GJ/ton,Mar,3,4.791,1
Energy_Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,Apr,4,2198.795,1
Energy_Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,Apr,4,88.335,1
Energy_Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,Apr,4,722.734,1
Energy_Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,Apr,4,209.205,1
Energy_Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,Apr,4,0.0,0
Energy_Consumption,Coal 4A.1 (YB),Coal/ Than 4A.1 (YB),Ton,Apr,4,0.0,0
Energy_Consumption,Coal import coal (YB),Coal/ Than import coal (YB) (than nhập khẩu),Ton,Apr,4,0.0,0
Energy_Consumption,Coal 5A under screen YB,Than cám qua sàng / Than 5A under screen YB,Ton,Apr,4,0.0,0
Energy_Consumption,Coal 5A (DV+YB),Coal/ Than 5A (DV+YB),Ton,Apr,4,2198.795,1
Energy_Consumption,Coal 4A.1 (DV+YB),Coal/ Than 4A.1 (DV+YB),Ton,Apr,4,88.335,1
Energy_Consumption,Coal import coal (DV+YB),Coal/ Than import coal (DV+YB),Ton,Apr,4,722.734,1
Energy_Consumption,Coal  5A under screen  (DV+YB),Coal/ Than  5A under screen  (DV+YB),Ton,Apr,4,209.205,1
Energy_Consumption,Total Coal DV,Total Coal DV,Ton,Apr,4,3219.069,1
Energy_Consumption,Total Coal YB,Total Coal YB,Ton,Apr,4,0.0,1
Energy_Consumption,Total Coal,Total Coal,Ton,Apr,4,3219.069,1
Energy_Consumption,Coal heating value 5A,Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,Apr,4,7350.0,1
Energy_Consumption,Coal heating value 4A.1,Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,Apr,4,5780.0,1
Energy_Consumption,Coal heating value import coal,Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,Apr,4,5520.0,1
Energy_Consumption,Coal heating value5A under screen,Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,Apr,4,6810.0,1
Energy_Consumption,Coal Heating Value average,Coal Heating Value average,cal/g,Apr,4,6860.958,1
Energy_Consumption,Coal Gas (DV),Coal Gas (DV) (Nhiệt trị theo phiếu kiểm tra),Mcal,Apr,4,16498636.969,1
Energy_Consumption,Coal Gas (YB),Coal Gas (YB) (Nhiệt trị theo phiếu kiểm tra),Mcal,Apr,4,0.0,0
Energy_Consumption,Total Coal Gas,Total Coal Gas,Mcal,Apr,4,16498636.969,1
Energy_Consumption,Lignite,Lignite/ Than non,Ton,Apr,4,0.0,0
Energy_Consumption,Natural Gas,Natural Gas/ Khí gas tự nhiên,Ton,Apr,4,0.0,0
Energy_Consumption,Co-generation (Heat),Co-generation (Heat)/ Đồng phát nhiệt điện,Ton,Apr,4,0.0,0
Energy_Consumption,LPG for Process used (Station),LPG for Process used (Station)/ LPG dùng cho trạm (dùng cho lò nung),Ton,Apr,4,0.0,0
Energy_Consumption,Heavy fuel oil / Bunker oil,Heavy fuel oil / Bunker oil/ Dầu nặng hoặc dàu chạy tàu,Ton,Apr,4,0.0,0
Energy_Consumption,Diesel oil (Mobile),Diesel oil (Mobile) Dầu xe,Litre,Apr,4,23200.0,1
Energy_Consumption,Gasoline,Gasoline (xăng bơm chữa cháy),Litre,Apr,4,0.0,1
Energy_Consumption,Steam,Steam/ Hơi nước,Ton,Apr,4,0.0,0
Energy_Consumption,Solid Biomass (DV),Solid Biomass (DV) (Củi+rác đốt là cây…+ Gỗ băm),Ton,Apr,4,31.936,1
Energy_Consumption,Solid Biomass (YB),Solid Biomass (YB) (Củi+rác đốt),Ton,Apr,4,0.0,1
Energy_Consumption,Total Solid Biomass,Total Solid Biomass,Ton,Apr,4,31.936,1
Energy_Consumption,Solid Biomass heating Value,Solid Biomass heating Value (Nhiệt trị),cal/g,Apr,4,3000.0,1
Energy_Consumption,Electricity,Electricity/ Điện (DV),MWh,Apr,4,1968.71,1
Energy_Consumption,Electricity,Electricity/ Điện (YB),MWh,Apr,4,0.0,1
Energy_Consumption,Total Electricity,Total Electricity,MWh,Apr,4,1968.71,1
Energy_Consumption,Co-generation (Power),Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,Apr,4,0.0,0
Energy_Consumption,Solar Cell (Renewable Energy),Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,Apr,4,0.0,0
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,Apr,4,93770.402,1
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,Apr,4,0.0,1
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,Apr,4,93770.402,1
Energy_Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,Apr,4,69981.078,1
